"Var1","Var2","value","year"
"R476_R580","R296",0.0890416020099017,"2018"
"R520_L575","R296",0.186926796731699,"2018"
"R523","R296",0.0217444417297826,"2018"
"R561","R296",0.287995269071555,"2018"
"R584","R296",0.0165596485299088,"2018"
"R587","R296",0.418136020151133,"2018"
"R591","R296",0.241102181400689,"2018"
"R605","R296",0.0415422210154765,"2018"
"R607","R296",0.0498569677155701,"2018"
"R611","R296",0,"2018"
"R623","R296",0.119032463399109,"2018"
"R627_R1334","R296",0.0442292593561895,"2018"
"R646","R296",0.325977933801404,"2018"
"R685_R836","R296",0,"2018"
"R693","R296",0,"2018"
"R713","R296",0,"2018"
"R714","R296",0,"2018"
"R716","R296",0.532520325203252,"2018"
"R717","R296",0.585072231139647,"2018"
"R724","R296",0.0107991360691145,"2018"
"R726","R296",0.026969696969697,"2018"
"R727","R296",0.0760432378079437,"2018"
"R728","R296",0,"2018"
"R729","R296",0.53719512195122,"2018"
"R730","R296",0.0428134556574924,"2018"
"R732","R296",0.363505228993869,"2018"
"R734","R296",0,"2018"
"R737","R296",0,"2018"
"R738","R296",0.754157628344179,"2018"
"R739","R296",0.146712604076945,"2018"
"R741_R1232","R296",0.496996176952485,"2018"
"R743","R296",0.397476340694006,"2018"
"R745","R296",1,"2018"
"R747","R296",0.393339333933393,"2018"
"R748","R296",0.718483412322275,"2018"
"R749","R296",0.0141629535327817,"2018"
"R750","R296",0.16757457846952,"2018"
"R753","R296",0.0232133541992697,"2018"
"R761","R296",0,"2018"
"R767","R296",0,"2018"
"R769","R296",0,"2018"
"R777_R889","R296",0.160720471077243,"2018"
"R800","R296",0.11148682247638,"2018"
"R811","R296",0.0824419159228725,"2018"
"R813_R1020","R296",0,"2018"
"R814","R296",0.356301531213192,"2018"
"R150_R751_L230","R297",0.900488709133805,"2018"
"R176_L222","R297",0.719694453669877,"2018"
"R247_R539_L433","R297",0.797274275979557,"2018"
"R291","R297",0.810094097519247,"2018"
"R296","R297",0.153719008264463,"2018"
"R297","R297",1,"2018"
"R305","R297",0.853974121996303,"2018"
"R316","R297",0.84751167293019,"2018"
"R404","R297",1,"2018"
"R437","R297",0.818798955613577,"2018"
"R462_R577","R297",0.73084046212188,"2018"
"R476_R580","R297",0.734944210448533,"2018"
"R520_L575","R297",0.270301817575454,"2018"
"R523","R297",1,"2018"
"R561","R297",0.644589000591366,"2018"
"R584","R297",0.883068604258195,"2018"
"R587","R297",0.437207628643397,"2018"
"R591","R297",0.508151549942595,"2018"
"R605","R297",0.999728482215585,"2018"
"R607","R297",0.925759433319711,"2018"
"R611","R297",0.872791519434629,"2018"
"R623","R297",0.893273923191173,"2018"
"R627_R1334","R297",0.979063072494112,"2018"
"R646","R297",0.694583751253761,"2018"
"R685_R836","R297",0.816001385401333,"2018"
"R693","R297",0.857779695139488,"2018"
"R713","R297",0.837462834489594,"2018"
"R714","R297",0.843230403800475,"2018"
"R716","R297",0.365040650406504,"2018"
"R717","R297",0.250401284109149,"2018"
"R724","R297",0.984264116013576,"2018"
"R726","R297",1,"2018"
"R727","R297",0.475175967823027,"2018"
"R728","R297",0.85595567867036,"2018"
"R729","R297",0.35609756097561,"2018"
"R730","R297",0.940294160477647,"2018"
"R732","R297",0.43526866209881,"2018"
"R734","R297",0.840659340659341,"2018"
"R737","R297",0.818181818181818,"2018"
"R738","R297",0.0824295010845987,"2018"
"R739","R297",0.723227103072064,"2018"
"R741_R1232","R297",0.342435827416712,"2018"
"R743","R297",0.484227129337539,"2018"
"R745","R297",0.0735873850197109,"2018"
"R747","R297",0.556255625562556,"2018"
"R748","R297",0.251184834123223,"2018"
"R749","R297",0.990929344366645,"2018"
"R750","R297",0.647730220492866,"2018"
"R753","R297",1,"2018"
"R761","R297",0.986714975845411,"2018"
"R767","R297",0.695121951219512,"2018"
"R769","R297",0.940570893776322,"2018"
"R777_R889","R297",0.792171804641496,"2018"
"R800","R297",0.232421680755843,"2018"
"R811","R297",0.516386182462356,"2018"
"R813_R1020","R297",0.965760322255791,"2018"
"R814","R297",0.291813898704358,"2018"
"R150_R751_L230","R305",0.413549039433771,"2018"
"R176_L222","R305",0.49335768847559,"2018"
"R247_R539_L433","R305",0.837430031637868,"2018"
"R291","R305",0.753293413173653,"2018"
"R296","R305",0.606611570247934,"2018"
"R297","R305",0.398026315789474,"2018"
"R305","R305",1,"2018"
"R316","R305",0.489693656758911,"2018"
"R404","R305",1,"2018"
"R437","R305",0.441462140992167,"2018"
"R462_R577","R305",0.424728812064556,"2018"
"R476_R580","R305",0.349663784822286,"2018"
"R520_L575","R305",0.256961814240454,"2018"
"R523","R305",0.725384803322746,"2018"
"R561","R305",0.85304553518628,"2018"
"R584","R305",0.568097330179115,"2018"
"R587","R305",0.68909679740914,"2018"
"R591","R305",0.489322617680827,"2018"
"R605","R305",0.86532717893022,"2018"
"R607","R305",0.662443808745403,"2018"
"R611","R305",0.0636042402826855,"2018"
"R623","R305",0.904307235306599,"2018"
"R627_R1334","R305",0.841141062549071,"2018"
"R646","R305",0.950351053159478,"2018"
"R685_R836","R305",0.28236210927353,"2018"
"R693","R305",0.356916882369859,"2018"
"R713","R305",0.322101090188305,"2018"
"R714","R305",0.161520190023753,"2018"
"R716","R305",0.758536585365854,"2018"
"R717","R305",0.668539325842697,"2018"
"R724","R305",0.342178340018513,"2018"
"R726","R305",0.65969696969697,"2018"
"R727","R305",0.373994469582705,"2018"
"R728","R305",0.210526315789474,"2018"
"R729","R305",0.693292682926829,"2018"
"R730","R305",0.674967234600262,"2018"
"R732","R305",0.547782185358817,"2018"
"R734","R305",0.0934065934065934,"2018"
"R737","R305",0.0812379110251451,"2018"
"R738","R305",0.512653651482285,"2018"
"R739","R305",0.711024978466839,"2018"
"R741_R1232","R305",0.680502457673403,"2018"
"R743","R305",0.651419558359621,"2018"
"R745","R305",0.712220762155059,"2018"
"R747","R305",0.795679567956796,"2018"
"R748","R305",0.768720379146919,"2018"
"R749","R305",0.527689369828135,"2018"
"R750","R305",0.544487678339818,"2018"
"R753","R305",0.920970266040689,"2018"
"R761","R305",0.727657004830918,"2018"
"R767","R305",0.0609756097560976,"2018"
"R769","R305",0.695367337388863,"2018"
"R777_R889","R305",0.816072047107724,"2018"
"R800","R305",0.218896071606166,"2018"
"R811","R305",0.334332629283914,"2018"
"R813_R1020","R305",0.684793554884189,"2018"
"R814","R305",0.525618374558304,"2018"
