"year","sample.id","sample.date","sample.group","sample.mass","site","sex","age.class","min.age","uid","degree","betweenness","eigen","strength","stan.strength","range.area","range.area.sqrt","social.group"
NA,"DNA2W2C",NA,"control","n/a",NA,NA,NA,NA,"n/a",NA,NA,NA,NA,NA,NA,NA,NA
NA,"DNA2W2D",NA,"control","n/a",NA,NA,NA,NA,"n/a",NA,NA,NA,NA,NA,NA,NA,NA
NA,"DNA2W2E",NA,"control","n/a",NA,NA,NA,NA,"n/a",NA,NA,NA,NA,NA,NA,NA,NA
NA,"DNA2W2F",NA,"control","n/a",NA,NA,NA,NA,"n/a",NA,NA,NA,NA,NA,NA,NA,NA
2019,"S00K90061","18-Jun-19","sample","0.2469","primary","F","juvenile",0,"R835",3,0,0.00823848855328395,0.433766233766234,0.00528983211910041,1515,38.9230009120571,"19B"
2019,"S00K90062","18-Jun-19","sample","0.2422","primary","F","adult",4,"R296",5,89.3333333333333,0.130726457894542,0.31614167995747,0.00385538634094475,842.5,29.0258505474,"19E"
2019,"S00K90063","18-Jun-19","sample","0.256","primary","F","adult",1,"R741_R1232",21,774,0.438309257051104,1.68581744215611,0.0205587492945868,2327.435546875,48.2435026389565,"19A"
2019,"S00K90064","18-Jun-19","sample","0.2469","primary","F","adult",4,"R316",4,64,0.0480304408148473,0.523232323232323,0.00638088199063809,2601.5,51.0049017252264,"19B"
2019,"S00K90065","18-Jun-19","sample","0.2454","primary","F","juvenile",0,"R857",6,0,0.0537340784579834,0.925505050505051,0.0112866469573787,75.5,8.68907359849138,"19D"
2019,"S00K90066","18-Jun-19","sample","0.2511","primary","F","adult",1,"R717",19,393,0.975714042629875,2.02643914056958,0.0247126724459704,2638.5,51.3663313854513,"19E"
2019,"S00K90067","18-Jun-19","sample","0.2574","primary","F","adult",2,"R591",10,17,0.197261930297199,1.00946396934753,0.0123105362115553,2051,45.287967496897,"19A"
2019,"S00K90068","18-Jun-19","sample","0.2435","primary","F","adult",4,"R291",9,227,0.0377326721842105,0.822987143575378,0.0100364285801875,2067,45.4642716866772,"19C"
2019,"S00K90069","18-Jun-19","sample","0.2149","primary","F","adult",1,"R734",15,236,0.21015990929387,1.31341795459443,0.0160172921292003,2146,46.3249392876019,"19D"
2019,"S00K90070","18-Jun-19","sample","0.2495","primary","M","juvenile",0,"R868",NA,NA,NA,NA,NA,NA,NA,NA
2019,"S00K90071","19-Jun-19","sample","0.2538","primary","M","adult",2,"R646",NA,NA,NA,NA,NA,NA,NA,NA
2019,"S00K90072","19-Jun-19","sample","0.2486","primary","F","adult",2,"R685_R836",NA,NA,NA,NA,NA,NA,NA,NA
2019,"S00K90073","19-Jun-19","sample","0.2438","primary","F","juvenile",0,"R896",4,20,0.0187813787623321,0.398351648351648,0.00485794693111766,836.5,28.9223097279591,"19F"
2019,"S00K90074","19-Jun-19","sample","0.2479","primary","F","adult",3,"R520_L575",3,0,0.0339823714859069,0.393540669856459,0.00479927646166414,1032.5,32.1325380261193,"19F"
2019,"S00K90075","19-Jun-19","sample","0.2518","primary","M","juvenile",0,"R885",NA,NA,NA,NA,NA,NA,NA,NA
